iter	Passed	Remaining
0	172	17115
1	174	8548
2	175	5687
3	177	4269
4	179	3407
5	180	2830
6	182	2418
7	183	2110
8	184	1870
9	186	1676
10	187	1517
11	188	1385
12	190	1274
13	192	1180
14	193	1099
15	195	1026
16	196	960
17	197	901
18	199	850
19	200	803
20	202	761
21	203	722
22	205	686
23	206	653
24	208	624
25	209	596
26	210	570
27	212	545
28	213	522
29	214	500
30	215	480
31	217	461
32	218	443
33	219	425
34	220	409
35	221	393
36	222	379
37	224	366
38	225	352
39	226	339
40	227	327
41	228	316
42	230	304
43	231	294
44	232	283
45	233	274
46	234	264
47	236	256
48	237	247
49	239	239
50	240	231
51	242	223
52	243	215
53	244	208
54	245	200
55	246	193
56	247	186
57	248	180
58	250	173
59	251	167
60	252	161
61	253	155
62	255	149
63	256	144
64	257	138
65	259	133
66	260	128
67	261	122
68	262	117
69	263	113
70	264	108
71	266	103
72	267	98
73	268	94
74	269	89
75	271	85
76	272	81
77	273	77
78	274	73
79	275	68
80	277	65
81	278	61
82	279	57
83	280	53
84	282	49
85	283	46
86	284	42
87	285	38
88	287	35
89	288	32
90	289	28
91	290	25
92	291	21
93	293	18
94	294	15
95	295	12
96	296	9
97	298	6
98	299	3
99	300	0
